NBA Draft Combine – Strength & Agility Statistics by Position (2014–Present),,,,,,,,,,,,,,
Position,Metric,N,Mean,Median,SD ?2,SD ?1,SD +1,SD +2,,Very Low,Low,Average,High,Very High
SF-SG,Max Bench Press (reps),8,8.25,8.50,-1.59,3.33,13.17,18.09,,"Very Low
< -1.59","Low
-1.59 – 3.33","Average
3.33 – 13.17","High
13.17 – 18.09","Very High
? 18.09"
SF,Lane Agility Time (sec),134,11.27,11.18,10.27,10.77,11.77,12.27,,"Very High
< 10.27","High
10.27 – 10.77","Average
10.77 – 11.77","Low
11.77 – 12.27","Very Low
? 12.27"
SF,Shuttle Run (sec),112,3.07,3.06,2.74,2.91,3.24,3.40,,"Very High
< 2.74","High
2.74 – 2.91","Average
2.91 – 3.24","Low
3.24 – 3.40","Very Low
? 3.40"
SF,3/4 Court Sprint (sec),134,3.24,3.25,3.01,3.13,3.36,3.47,,"Very High
< 3.01","High
3.01 – 3.13","Average
3.13 – 3.36","Low
3.36 – 3.47","Very Low
? 3.47"
SF,Standing Vertical Leap (in),133,29.33,29.50,23.09,26.21,32.45,35.57,,"Very Low
< 23.09","Low
23.09 – 26.21","Average
26.21 – 32.45","High
32.45 – 35.57","Very High
? 35.57"
SF,Max Vertical Leap (in),152,35.20,35.00,28.21,31.71,38.70,42.19,,"Very Low
< 28.21","Low
28.21 – 31.71","Average
31.71 – 38.70","High
38.70 – 42.19","Very High
? 42.19"
SF,Max Bench Press (reps),16,8.19,8.50,-2.99,2.60,13.78,19.36,,"Very Low
< -2.99","Low
-2.99 – 2.60","Average
2.60 – 13.78","High
13.78 – 19.36","Very High
? 19.36"
SF-PF,Lane Agility Time (sec),2,11.23,11.23,11.03,11.13,11.33,11.43,,"Very High
< 11.03","High
11.03 – 11.13","Average
11.13 – 11.33","Low
11.33 – 11.43","Very Low
? 11.43"
SF-PF,Shuttle Run (sec),2,3.11,3.11,2.91,3.01,3.21,3.31,,"Very High
< 2.91","High
2.91 – 3.01","Average
3.01 – 3.21","Low
3.21 – 3.31","Very Low
? 3.31"
SF-PF,3/4 Court Sprint (sec),2,3.42,3.42,3.27,3.35,3.50,3.58,,"Very High
< 3.27","High
3.27 – 3.35","Average
3.35 – 3.50","Low
3.50 – 3.58","Very Low
? 3.58"
SF-PF,Standing Vertical Leap (in),2,31.75,31.75,25.39,28.57,34.93,38.11,,"Very Low
< 25.39","Low
25.39 – 28.57","Average
28.57 – 34.93","High
34.93 – 38.11","Very High
? 38.11"
SF-PF,Max Vertical Leap (in),2,37.00,37.00,35.59,36.29,37.71,38.41,,"Very Low
< 35.59","Low
35.59 – 36.29","Average
36.29 – 37.71","High
37.71 – 38.41","Very High
? 38.41"
SF-PF,Max Bench Press (reps),2,10.00,10.00,7.17,8.59,11.41,12.83,,"Very Low
< 7.17","Low
7.17 – 8.59","Average
8.59 – 11.41","High
11.41 – 12.83","Very High
? 12.83"
F,Lane Agility Time (sec),15,11.41,11.29,10.30,10.86,11.97,12.52,,"Very High
< 10.30","High
10.30 – 10.86","Average
10.86 – 11.97","Low
11.97 – 12.52","Very Low
? 12.52"
F,3/4 Court Sprint (sec),15,3.28,3.25,3.05,3.17,3.39,3.50,,"Very High
< 3.05","High
3.05 – 3.17","Average
3.17 – 3.39","Low
3.39 – 3.50","Very Low
? 3.50"
